,true_score_0,true_score_1,true_score_2,true_score_3
predicted_score_0,4.47,9.51,2.02,8.65
predicted_score_1,1.73,9.94,3.17,7.06
predicted_score_2,0.43,1.44,0.72,1.44
predicted_score_3,0.72,6.77,6.2,35.73
