,true_score_0,true_score_1,true_score_2,true_score_3
predicted_score_0,4.47,9.51,2.02,8.79
predicted_score_1,2.16,15.56,7.2,18.16
predicted_score_2,0.29,0.29,0.14,2.31
predicted_score_3,0.43,2.31,2.74,23.63
